model,MAE,RMSE,R2,fold_sd,seconds
B1 global median rate,110.5569248608206,288.58897597226263,0.30080906204563473,12.700272885326465,0.14287757873535156
B2 locality median rate,56.085965376576866,176.98790704632663,0.7370195260279702,6.553131420468379,0.12272334098815918
B3 linear regression,53.86249830269226,171.72149088070427,0.7524370681569339,5.956169277060787,3.4598073959350586
M1 Ridge,53.88106331494253,171.7564472154894,0.7523362680358477,5.958414373895631,1.3796887397766113
M2 Lasso,55.3498503365803,173.3949762072222,0.7475883838639505,6.16074043145211,1113.2619287967682
M3 Decision Tree,47.375342261518625,145.24747849143859,0.8228857436128204,5.342801188488151,6.3273913860321045
M4 Random Forest,41.77864630538625,135.47462657188285,0.8459178812298647,5.336940892044789,102.91122198104858
M5 Extra Trees,42.26464377162285,144.38617774949557,0.8249800497463369,6.004631718646309,4670.881581068039
M6 Gradient Boosting,46.10161415023405,146.824655602463,0.8190184521335102,5.3462419497996745,301.35458064079285
M7 HistGradientBoosting,42.33943560556481,137.53404063093907,0.8411977244425327,5.6914010521750225,41.902061223983765
M8 XGBoost,41.480696067818116,140.51865578578912,0.834230628880042,5.242838919637361,26.59495449066162
